,QBER,delta,f_ec,FER,iteration_cost,rounds,iterations
0,0.01,-0.01,1.83952,0.0,14.0754,7.3765,103.375
1,0.01,-0.009,1.87639,0.0,14.8205,6.607,93.442
2,0.01,-0.008,1.99446,0.0,16.1163,5.15635,73.5827
3,0.01,-0.007,2.07038,0.0,17.2095,4.09955,58.0523
4,0.01,-0.006,2.24629,0.0031,17.3873,3.94859,56.0568
5,0.01,-0.005,2.32075,0.043,14.7793,6.78908,87.6585
6,0.01,-0.004,1.97104,0.0025,8.07182,24.9753,325.42
7,0.01,-0.003,1.58023,0.0,6.14943,28.4021,427.781
8,0.01,-0.002,1.40848,0.0,7.09661,17.2936,352.249
9,0.01,-0.001,1.32862,0.0,8.8068,9.1097,236.252
10,0.01,0.0,1.2868,0.0,4.27139,3.81425,120.895
11,0.01,0.001,1.28539,0.0,7.57672,1.56505,55.8242
12,0.01,0.002,1.33704,0.0,10.9983,1.022,31.4582
13,0.01,0.003,1.42526,0.0,12.727,1.00035,24.2679
14,0.01,0.004,1.51363,0.0,13.9475,1.0,20.8615
15,0.01,0.005,1.60052,0.0,14.5047,1.0,18.9611
16,0.01,0.006,1.68604,0.0,14.9858,1.0,17.5011
17,0.01,0.007,1.77023,0.0,15.1614,1.0,16.2757
18,0.01,0.008,1.85319,0.0,4.11995,1.0,15.1215
19,0.01,0.009,1.935,0.0,4.22734,1.0,14.6554
20,0.01,0.01,2.01567,0.0,4.02628,1.0,16.3013
21,0.015,-0.01,2.54233,0.13685,12.7627,6.26218,71.4342
22,0.015,-0.009,2.53672,0.539,11.0292,6.70965,75.7092
23,0.015,-0.008,2.05733,0.77885,8.9332,36.2785,523.864
24,0.015,-0.007,1.65002,0.2531,6.82143,50.7397,780.027
25,0.015,-0.006,1.57744,0.0016,1.55953,40.682,642.665
26,0.015,-0.005,1.49576,5e-05,7.92842,30.2408,501.762
27,0.015,-0.004,1.42991,0.0,9.03552,22.1673,383.375
28,0.015,-0.003,1.38173,0.0,12.3451,16.0256,287.317
29,0.015,-0.002,1.34323,0.0,12.4611,11.0321,206.9
30,0.015,-0.001,1.29893,0.0,11.8797,6.54685,140.02
31,0.015,0.0,1.26057,0.0,11.6416,2.97995,76.6042
32,0.015,0.001,1.2573,0.0,11.8467,1.61895,46.7743
33,0.015,0.002,1.27406,0.0,4.51634,1.03165,28.3422
34,0.015,0.003,1.3311,0.0,4.67318,1.0004,22.5343
35,0.015,0.004,1.38978,0.0,4.75732,1.0005,20.7727
36,0.015,0.005,1.44768,0.0,4.79994,1.0008,21.829
37,0.015,0.006,1.50484,0.0,4.75189,1.00115,21.1925
38,0.015,0.007,1.56127,0.0,4.78893,1.0016,16.8428
39,0.015,0.008,1.61695,0.0,12.1894,1.00115,13.8284
40,0.015,0.009,1.67191,0.0,13.6427,1.00025,14.4582
41,0.015,0.01,1.7263,0.0,12.5772,1.00005,17.6602
42,0.02,-0.01,1.68928,0.5983,9.52542,56.4208,719.897
43,0.02,-0.009,1.64974,0.0235,4.71266,49.9189,661.182
44,0.02,-0.008,1.58903,0.0,4.29173,40.8351,533.776
45,0.02,-0.007,1.54512,0.0,12.7945,33.6832,425.148
46,0.02,-0.006,1.49933,0.0,6.42436,27.3773,345.474
47,0.02,-0.005,1.44582,0.0,5.24929,21.5044,285.105
48,0.02,-0.004,1.3929,0.0,13.8517,16.2889,232.722
49,0.02,-0.003,1.34153,0.0,11.9439,11.697,184.329
50,0.02,-0.002,1.2941,0.0,6.7626,7.70775,139.101
